tsne1,tsne2,identifier,name,nodetype
-31.014862,3.7379088,FOODON:03420244,mammalian milk whey,Food
-21.19936,-4.7149577,FOODON:00003157,almond milk,Food
0.53027964,16.365263,FOODON:03302630,butternut (raw),Food
17.27732,-14.234153,FOODON:00002073,oregano food product,Food
17.372713,-2.7286308,FOODON:00002933,hazelnut,Food
13.525926,6.1846476,FOODON:03301825,pistachio nut (raw),Food
29.085606,-7.538253,FOODON:03311347,elderberry (raw),Food
-0.03509307,-13.142372,FOODON:03302199,potato bread,Food
18.423758,-17.016184,FOODON:03304506,date (raw),Food
24.357695,-0.7641752,FOODON:00002212,rosemary food product,Food
4.951089,29.373632,FOODON:03307280,feta cheese,Food
-26.733366,-7.881401,FOODON:03303207,couscous (dried),Food
30.931776,16.16844,FOODON:03311585,herbal tea,Food
15.917482,30.241665,FOODON:03302458,cheddar cheese,Food
-40.952656,-14.1364565,FOODON:03315170,sugar substitute,Food
26.864826,-14.824268,FOODON:03309927,tomato (raw),Food
17.163668,31.100248,FOODON:00003247,parmesan cheese food product,Food
-0.12180716,-30.004332,FOODON:03310273,white wine,Food
-27.080423,-8.217707,FOODON:03302453,gluten flour,Food
18.000626,-5.5636525,FOODON:00003076,daikon (raw),Food
13.079534,-4.0484433,FOODON:03311502,chayote (raw),Food
-44.95647,-10.214111,FOODON:03317281,beef sausage (raw),Food
-25.320667,-12.605105,FOODON:03302045,blueberry (raw),Food
-37.589943,-1.3611085,FOODON:03310591,beef round steak (raw),Food
14.748356,-1.9012321,FOODON:00003082,mountain yam,Food
-17.721663,12.176057,FOODON:03302197,"potato (peeled, boiled)",Food
-17.31188,10.916528,FOODON:03315448,nori,Food
24.640041,-15.348838,FOODON:00003064,watercress,Food
9.7120075,-9.885589,FOODON:03301275,mung bean,Food
-36.442936,8.0913315,FOODON:03311091,lamb chop (raw),Food
-16.803347,11.816805,FOODON:03306143,lemon peel,Food
8.456831,-16.229378,FOODON:03301719,peach (raw),Food
13.012938,-17.068039,FOODON:00003069,asian pear (raw),Food
